GivenName,Surname,City,StreetAddress,CountryFull,Birthday,Age,TelephoneNumber,NationalID
Vitale,Cremonesi,Casoni,"Lungodora Napoli 92",Italy,7/9/1997,24,"0374 5396809",RE72083611
Lorenzo,Gallo,Gargazzone,"Via San Domenico 108",Italy,12/22/1933,87,"0327 2652858",KU77958202
Aida,Pagnotto,"Bertolla Barca","Via Adua 31",Italy,3/2/1948,73,"0348 1366164",MK35161736
Verdiana,Lorenzo,"Montegrino Valtravaglia","Via Corio 12",Italy,1/31/1932,89,"0343 8617960",MB36287190
Cinzia,Baresi,Collobiano,"Piazza San Carlo 122",Italy,10/24/1986,35,"0342 5427218",EU79434775
Diego,Pisano,Montenerodomo,"Via Torre di Mezzavia 94",Italy,9/25/1930,91,"0390 0936492",GX35649760
Cupido,Siciliano,"Spezzano Piccolo","Via Alfredo Fusco 122",Italy,5/30/1990,31,"0359 0337089",CP1155398
Erminio,Milani,"Caselle Di Selvazzano Dentro","Via Francesco Girardi 87",Italy,3/5/1930,91,"0314 0681432",YX35358836
Aida,Giordano,Jalmicco,"Via Paolo Gaidano 7",Italy,1/2/1972,49,"0354 0610806",GQ1754152
Terzo,Bianchi,"Santa Margherita D'Adige","Via Sedile di Porto 120",Italy,1/26/1950,71,"0319 6562304",WJ54072560
"Maria Teresa",Endrizzi,Gavello,"Via Valpantena 130",Italy,12/5/2010,10,"0392 9615207",LS4665431
Artemia,Panicucci,"Monticelli Terme Di Montechiarugolo","Piazza Giuseppe Garibaldi 59",Italy,10/14/1965,56,"0353 4673102",MM13443881
Quinto,Longo,Secugnago,"Via Bologna 81",Italy,6/7/1948,73,"0389 2340873",NX12417560
Iacopo,Pinto,Bettola,"Via Torino 10",Italy,10/25/1976,45,"0399 7884422",MW19564426
Lelio,Ferri,"Sant'Angelo Di Celle","Via Silvio Spaventa 54",Italy,1/27/1988,33,"0325 9734155",CW91605047
Olindo,Napolitano,Messina,"Via San Domenico Soriano 121",Italy,4/4/1950,71,"0337 5223283",OE51430959
Ferdinanda,Trevisani,"Pioppe Di Salvaro","Via Archimede 55",Italy,11/7/1964,57,"0339 6604524",XO76032287
Carmela,Lucchese,Grottacalda,"Via Vico Ferrovia 145",Italy,7/18/2010,11,"0375 3008484",AS59426949
