id,first_name,last_name,birthdate,vaccinated
1,Tyne,Tomlin,1985-06-10,false
2,Budd,Espinoy,2007-05-25,true
3,Alene,Ardy,1993-08-19,true
4,Alwin,Goalley,1983-01-28,true
5,Christophe,Arlt,1964-05-18,false
6,Wald,Simao,1938-07-26,true
7,Wynnie,Simmon,1971-12-01,true
8,Thorin,Orehead,1936-02-17,true
9,Gardner,Zupa,1965-02-02,false
10,Teddie,Firman,1945-05-04,false
11,Ferdinanda,Mocker,1968-04-13,false
12,Jonah,Ponceford,1973-05-21,false
13,Timmi,Giovannazzi,2009-04-15,false
14,Alidia,Van der Mark,1994-02-25,true
15,Maurice,Edgeon,1935-05-18,true
16,Ignatius,Everleigh,1963-07-08,true
17,Johna,Montilla,1993-11-24,false
18,Wayland,Coppins,1962-03-15,true
19,Junie,Faunch,1948-11-30,true
20,Dorise,Angove,2006-02-02,false
21,Rena,Colton,1982-01-30,true
22,Gaylord,Gummery,1951-05-26,false
23,Hortensia,Baylis,1998-11-08,false
24,Avery,Lockyear,1937-07-20,true
25,Myrna,Raitt,1988-03-08,false
26,Tessi,McFarlan,1968-09-20,true
27,Claire,Doohan,1980-05-11,true
28,Nevins,Pye,1939-03-04,false
29,Westley,Venning,1985-08-06,true
30,Dedra,Cearley,1957-11-05,true
31,Traci,Cowcha,1947-09-21,false
32,Gardie,Edlyn,1945-08-22,true
33,Erskine,Dorrance,1983-03-15,true
34,Nettie,Vince,1949-12-22,false
35,Halsy,McBratney,1934-12-13,false
36,Elnora,Mitchenson,1954-08-17,true
37,Luz,Hindshaw,1947-06-07,true
38,Georgeanna,Berick,1988-03-01,true
39,Micheil,Brimilcome,1964-10-08,false
40,Bambi,Simms,1952-04-07,false
41,Chadd,Casol,1955-02-22,true
42,Aile,Heppner,1958-05-23,true
43,Pippa,Lilley,2003-07-03,false
44,Tyne,Maestro,1996-02-17,false
45,Prescott,Osband,1934-08-09,false
46,Delia,McClenaghan,2002-05-24,false
47,Merwin,Annies,2005-02-19,true
48,Renaud,Boulder,1948-07-12,true
